Class,System,Name,Description,CBSA,CBSA_Name,Latitude,Longitude
Cyber Company,Private Company,Alma Exchange Bank & Trust,"The company primarily operates in the Internet Software industry. Alma Exchange Bank & Trust is headquartered in Alma, GA.",-2,NA,31.544217,-82.461569
Innovation Center,Innovation Center,University of North Georgia Center for Cyber Operations,,-2,NA,34.530301,-83.985748
Post Secondary,University System of Georgia                                                    ,University of North Georgia,,-2,NA,34.530219,-83.985694
Post Secondary,Technical College System of Georgia                                             ,Oconee Fall Line Technical College,,-2,NA,32.996687,-82.839621
Post Secondary,Technical College System of Georgia                                             ,Albany Technical College,,10500,Albany,31.55434,-84.174284
Post Secondary,University System of Georgia                                                    ,Albany State University,,10500,Albany,31.56928,-84.141825
Post Secondary,University System of Georgia                                                    ,Georgia Southwestern State University,,11140,Americus,32.054662,-84.217738
Post Secondary,Technical College System of Georgia                                             ,South Georgia Technical College,,11140,Americus,32.116663,-84.188321
Cyber Company,Private Company,Arcanum Technology,"Provider of innovative and cost-effective authentication services intended to create a safe and secure business environment. The company's authentication services has introduced N-Kod Secure Authentication to elevate the authentication process with an expanded character set and an innovative cypher algorithm that generates a series of tokenized values every step in the process to fortify the passcode system with an end-to-end multi-layered security approach, enabling users to have a simple and reliable personalized end user interaction to securely gain access to websites.",12020,Athens,33.96512,-83.346832
Cyber Company,Private Company,Athena Technology,"Provider of information technology consulting services. The company offers infrastructure management service such as desktop and server support, network security and data backup.",12020,Athens,33.951722,-83.386992
Innovation Center,Innovation Center,University of Georgia Institute for Cybersecurity and Privacy,,12020,Athens,33.945893,-83.374652
Post Secondary,University System of Georgia                                                    ,University of Georgia,,12020,Athens,33.956262,-83.374039
Post Secondary,Technical College System of Georgia                                             ,Athens Technical College,,12020,Athens,33.990183,-83.339598
Cyber Company,Private Company,Waratek,"Provider of application security designed to provide protection against known and unknown vulnerabilities and exploits in current and legacy software. The company's application security produces zero false positives, requires no code changes, tuning or instrumentation and takes minutes to install providing protection against vulnerabilities in the entire application stack, including business logic layer, components from third-party libraries and operating systems, enabling businesses to increase online application security.",12060,Atlanta,34.101466,-84.520761
