City,State,Latitude,Longitude
ANCHORAGE,AK,61.2163129,-149.894852
HUNTSVILLE,AL,34.729847,-86.5859011
MADISON,AL,34.7736807,-86.5675095
BENTON,AR,36.3456186,-94.2670404
CABOT,AR,34.974532,-92.0165336
LITTLE ROCK,AR,34.7464809,-92.2895948
PHOENIX,AZ,33.4484367,-112.0741417
SCOTTSDALE,AZ,33.4942189,-111.9260184
TEMPE,AZ,33.4255056,-111.9400125
TUCSON,AZ,32.2228765,-110.9748477
BARSTOW,CA,34.8957684,-117.0172077
CULVER CITY,CA,34.0211224,-118.3964665
DANVILLE,CA,37.8215929,-121.9999606
EL SEGUNDO,CA,33.917028,-118.4156337
FREMONT,CA,37.5482697,-121.9885719
OXNARD,CA,34.1976308,-119.1803818
SAN DIEGO,CA,32.7174202,-117.1627728
SANTA BARBARA,CA,34.4221319,-119.7026673
SANTEE,CA,32.8383828,-116.9739167
SEBASTOPOL,CA,38.4021127,-122.8242666
AURORA,CO,41.7571701,-88.3147539
BOULDER,CO,40.0149856,-105.2705456
COLORADO SPRINGS,CO,38.8339578,-104.8253485
DENVER,CO,39.7392364,-104.9848623
ENGLEWOOD,CO,39.6482059,-104.9879641
NEW LONDON,CT,41.331256,-72.09643716
WASHINGTON,DC,38.8949924,-77.0365581
BAY HARBOR ISLANDS,FL,25.8875948,-80.1311564
CLEARWATER,FL,27.9658533,-82.8001026
DADE CITY,FL,28.3647248,-82.1959178
DELRAY BEACH,FL,26.4614625,-80.0728201
DELTONA,FL,28.9005446,-81.2636738
KEY WEST,FL,24.5625566,-81.7724368
MIAMI,FL,25.7741728,-80.19362
ORLANDO,FL,28.5421109,-81.3790304
PALM BEACH GARDENS,FL,26.8233946,-80.1386547
PENSACOLA,FL,30.421309,-87.2169149
TAMPA,FL,27.9477595,-82.458444
ALBANY,GA,42.6511674,-73.754968
ALPHARETTA,GA,34.0709576,-84.2747329
ATLANTA,GA,33.7489924,-84.3902644
AUGUSTA,GA,33.4709714,-81.9748429
AVONDALE ESTATES,GA,33.771494,-84.2671444
BLYTHE,GA,33.6134767,-114.5937537
BROOKHAVEN,GA,31.5790588,-90.4406506
BRUNSWICK,GA,43.905599,-69.97599148
